name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
LAPORTE Christophe,BRONZE,2024-08-03,MASCULINO,1992-12-11,France,Cycling Road,Men's Road Race,46.227638,2.213749
ZEIDLER Oliver,OURO,2024-08-03,MASCULINO,1996-07-24,Germany,Rowing,Men's Single Sculls,51.165691,10.451526
ZALATY Yauheni,PRATA,2024-08-03,MASCULINO,1999-09-09,AIN,Rowing,Men's Single Sculls,46.2475706,5.1307681
van DORP Simon,BRONZE,2024-08-03,MASCULINO,1997-04-10,Netherlands,Rowing,Men's Single Sculls,52.132633,5.291266
FLORIJN Karolien,OURO,2024-08-03,FEMININO,1998-04-06,Netherlands,Rowing,Women's Single Sculls,52.132633,5.291266
TWIGG Emma,PRATA,2024-08-03,FEMININO,1987-03-01,New Zealand,Rowing,Women's Single Sculls,-40.900557,174.885971
SENKUTE Viktorija,BRONZE,2024-08-03,FEMININO,1996-04-12,Lithuania,Rowing,Women's Single Sculls,55.169438,23.881275
REUVENY Tom,OURO,2024-08-03,MASCULINO,2000-06-12,Israel,Sailing,Men's Windsurfing,31.046051,34.851612
MORRIS Grae,PRATA,2024-08-03,MASCULINO,2003-10-16,Australia,Sailing,Men's Windsurfing,-25.274398,133.775136
van OPZEELAND Luuc,BRONZE,2024-08-03,MASCULINO,1999-05-21,Netherlands,Sailing,Men's Windsurfing,52.132633,5.291266
MAGGETTI Marta,OURO,2024-08-03,FEMININO,1996-01-10,Italy,Sailing,Women's Windsurfing,41.87194,12.56738
KANTOR Sharon,PRATA,2024-08-03,FEMININO,2003-01-28,Israel,Sailing,Women's Windsurfing,31.046051,34.851612
WILSON Emma,BRONZE,2024-08-03,FEMININO,1999-04-07,Great Britain,Sailing,Women's Windsurfing,55.378051,-3.435973
YANG Jiin,OURO,2024-08-03,FEMININO,2003-05-20,Korea,Shooting,25m Pistol Women,35.907757,127.766922
JEDRZEJEWSKI Camille,PRATA,2024-08-03,FEMININO,2002-04-25,France,Shooting,25m Pistol Women,46.227638,2.213749
MAJOR Veronika,BRONZE,2024-08-03,FEMININO,1997-03-19,Hungary,Shooting,25m Pistol Women,47.162494,19.503304
HANCOCK Vincent,OURO,2024-08-03,MASCULINO,1989-03-19,United States,Shooting,Skeet Men,38.7945952,-106.5348379
PRINCE Conner Lynn,PRATA,2024-08-03,MASCULINO,2000-03-28,United States,Shooting,Skeet Men,38.7945952,-106.5348379
LEE Meng Yuan,BRONZE,2024-08-03,MASCULINO,1994-08-25,Chinese Taipei,Shooting,Skeet Men,23.69781,120.960515
